,Unnamed: 0,Acceleration,Acceleration X,Acceleration Y,Acceleration Z,Area,Average Distance To 3 Nearest Neighbours,Average Distance To 5 Nearest Neighbours,Average Distance To 9 Nearest Neighbours,Diameter X,Diameter Y,Diameter Z,Displacement Delta Length,Displacement Delta X,Displacement Delta Y,Displacement Delta Z,Displacement Length,Displacement X,Displacement Y,Displacement Z,Displacement^2,Distance To Nearest Neighbour,Distance from Origin,Distance to Image Border XY,Distance to Image Border XYZ,Generation,Intensity Center Channel_1,Intensity Center Channel_2,Intensity Center Channel_3,Intensity Center Channel_4,Intensity Max Channel_1,Intensity Max Channel_2,Intensity Max Channel_3,Intensity Max Channel_4,Intensity Mean Channel_1,Intensity Mean Channel_2,Intensity Mean Channel_3,Intensity Mean Channel_4,Intensity Median Channel_1,Intensity Median Channel_2,Intensity Median Channel_3,Intensity Median Channel_4,Intensity Min Channel_1,Intensity Min Channel_2,Intensity Min Channel_3,Intensity Min Channel_4,Intensity StdDev Channel_1,Intensity StdDev Channel_2,Intensity StdDev Channel_3,Intensity StdDev Channel_4,Intensity Sum Channel_1,Intensity Sum Channel_2,Intensity Sum Channel_3,Intensity Sum Channel_4,Intensity Sum of Square Channel_1,Intensity Sum of Square Channel_2,Intensity Sum of Square Channel_3,Intensity Sum of Square Channel_4,Number of Voxels,Position X,Position Y,Position Z,Speed,Time,Time Index,Time Since Track Start,Velocity Angle X,Velocity Angle Y,Velocity Angle Z,Velocity X,Velocity Y,Velocity Z,Volume,Object_ID,Track_ID
0,1241,0.0,0.0,0.0,0.0,270.69146728515625,21.537261962890625,28.7022705078125,35.98637771606445,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.026580810546877,731.042236328125,355.672119140625,21.7008056640625,0.0,117.0,0.0,0.0,9.0,157.0,14.0,9.0,43.0,54.52381134033203,3.7142856121063232,1.5714285373687744,16.14285659790039,39.0,4.000499725341797,0.0040000001899898,14.014999389648438,0.0,0.0,0.0,0.0,37.00916290283203,4.037241458892822,2.4411439895629883,12.807311058044434,1145.0,78.0,33.0,339.0,91193.0,632.0,177.0,8917.0,21.0,359.672119140625,366.0025939941406,520.6734008789062,1.4175559282302856,0.0,1.0,0.0,123.1526870727539,131.90367126464844,120.33277130126952,-0.775146484375,-0.946685791015625,-0.7158203125,402.1238708496094,1241,1000001241
1,1818,0.0,0.0,0.0,0.0,270.69146728515625,19.328458786010746,22.50324058532715,26.762659072875977,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.096896171569824,791.3008422851562,338.4087829589844,23.075103759765625,0.0,255.0,4.0,0.0,14.0,255.0,33.0,4.0,14.0,142.22222900390625,15.05555534362793,0.6666666865348816,3.444444417953491,120.94400024414062,14.0,0.0010000000474974,0.0035000001080334,47.0,4.0,0.0,0.0,62.91048049926758,9.401371955871582,1.4907119274139404,4.740161895751953,2560.0,271.0,12.0,62.0,435328.0,5671.0,48.0,618.0,18.0,495.5909423828125,342.4087829589844,513.1304931640625,0.8712676763534546,0.0,1.0,0.0,24.82834243774414,97.51404571533205,66.48481750488281,0.790740966796875,-0.1138916015625,0.34765625,402.1238708496094,1818,1000001818
2,1927,0.0,0.0,0.0,0.0,270.69146728515625,35.68537521362305,39.41244125366211,45.01768493652344,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.219318389892575,891.6703491210938,55.79892349243164,20.51708984375,0.0,230.0,4.0,1.0,11.0,230.0,17.0,6.0,16.0,128.2857208251953,3.761904716491699,1.1428571939468384,6.428571224212647,109.9320068359375,2.992000102996826,0.0015000000130385,6.005000114440918,42.0,0.0,0.0,1.0,59.69856262207031,4.658885478973389,1.7261494398117063,4.158427238464356,2694.0,79.0,24.0,135.0,420444.0,753.0,90.0,1231.0,21.0,720.53125,59.79892349243164,521.8571166992188,0.530946671962738,0.0,1.0,0.0,131.37075805664062,62.68698120117188,53.570220947265625,-0.35089111328125,0.2436408996582031,0.3153076171875,402.1238708496094,1927,1000001927
3,1973,0.0,0.0,0.0,0.0,270.69146728515625,27.043846130371094,31.484582901000977,36.95790863037109,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.640981674194336,917.8299560546876,90.45497131347656,21.17352294921875,0.0,65.0,255.0,17.0,108.0,89.0,255.0,23.0,134.0,39.90909194946289,207.18182373046875,7.545454502105713,61.04545593261719,34.52199935913086,235.95599365234372,7.009999752044678,49.98400115966797,5.0,78.0,0.0,24.0,21.50667762756348,52.21340560913086,5.766102313995361,31.95519256591797,878.0,4558.0,166.0,1343.0,45216.0,1004312.0,1984.0,104449.0,22.0,749.5598754882812,94.45497131347656,521.20068359375,0.6882290244102478,0.0,1.0,0.0,32.915061950683594,62.253231048583984,106.27252197265624,0.5777587890625,0.3204345703125,-0.19281005859375,402.1238708496094,1973,1000001973
4,2021,0.0,0.0,0.0,0.0,270.69146728515625,28.85430335998535,34.1861457824707,38.08805465698242,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.104263305664062,876.8998413085938,125.78581237792967,21.3948974609375,0.0,149.0,4.0,0.0,9.0,149.0,24.0,24.0,43.0,44.59090805053711,8.5,5.681818008422852,16.636363983154297,35.0,8.994999885559082,3.992000102996826,14.01999855041504,0.0,0.0,0.0,0.0,35.58940124511719,6.887076377868652,7.156601428985596,11.818881034851074,981.0,187.0,125.0,366.0,71609.0,2633.0,1837.0,9162.0,22.0,693.3178100585938,129.7858123779297,520.9793090820312,0.7670973539352417,0.0,1.0,0.0,134.42019653320312,83.83617401123047,45.07867431640625,-0.536865234375,0.0823974609375,0.54168701171875,402.1238708496094,2021,1000002021
5,2022,0.0,0.0,0.0,0.0,270.69146728515625,13.1482572555542,16.297069549560547,21.77239418029785,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.443528175354004,924.0481567382812,125.79315185546876,20.93414306640625,0.0,145.0,8.0,3.0,6.0,145.0,9.0,7.0,22.0,53.45454406738281,4.2272725105285645,2.6818182468414307,8.863636016845703,44.0,3.996000289916992,2.500000238418579,7.992000579833984,28.0,0.0,0.0,1.0,26.326148986816406,2.859304189682007,2.4380760192871094,5.553831100463867,1176.0,93.0,59.0,195.0,78110.0,573.0,289.0,2407.0,22.0,751.7439575195312,129.79315185546875,521.4400634765625,11.104969024658203,0.0,1.0,0.0,90.7968978881836,54.525028228759766,35.48926544189453,-0.1539306640625,6.444992065429688,9.04205322265625,402.1238708496094,2022,1000002022
6,2032,0.0,0.0,0.0,0.0,270.69146728515625,14.9853515625,17.6707820892334,21.68640518188477,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.443528175354004,931.6494140625,133.2496337890625,21.8369140625,0.0,143.0,20.0,0.0,16.0,208.0,32.0,11.0,54.0,80.90908813476562,13.363636016845703,1.863636374473572,18.045454025268555,56.54999923706055,13.020000457763672,0.003000000026077,15.989999771118164,13.0,2.0,0.0,4.0,54.91804504394531,7.498760223388672,2.7185466289520264,11.01848602294922,1780.0,294.0,41.0,397.0,210370.0,5166.0,239.0,9835.0,22.0,760.3776245117188,137.2496337890625,520.5372924804688,4.001988887786865,0.0,1.0,0.0,152.19845581054688,116.8636474609375,83.33847045898438,-3.539886474609375,-1.8081588745117188,0.46441650390625,402.1238708496094,2032,1000002032
7,2037,0.0,0.0,0.0,0.0,270.69146728515625,15.7478609085083,17.99951934814453,22.3961238861084,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.815909385681152,918.3358154296876,136.46424865722656,21.22052001953125,0.0,95.0,5.0,2.0,2.0,95.0,14.0,4.0,12.0,56.42856979370117,4.666666507720947,1.2380952835083008,5.666666507720947,58.974002838134766,4.010000228881836,0.999000072479248,6.004000663757324,7.0,0.0,0.0,0.0,23.286151885986328,3.48238205909729,1.3418097496032717,3.167293071746826,1185.0,98.0,26.0,119.0,78255.0,712.0,70.0,885.0,21.0,742.9732666015625,140.46424865722656,521.1536865234375,1.3263089656829834,0.0,1.0,0.0,42.81341171264648,130.2825927734375,77.91055297851562,0.97296142578125,-0.8574676513671875,0.27783203125,402.1238708496094,2037,1000002037
8,2052,0.0,0.0,0.0,0.0,270.69146728515625,16.40498161315918,19.17633438110352,23.23996925354004,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.33491039276123,872.3538818359375,152.11898803710938,21.04107666015625,0.0,94.0,229.0,4.0,92.0,141.0,255.0,29.0,179.0,78.40908813476562,230.5909118652344,12.681818008422852,112.0,78.02499389648438,239.00799560546875,14.00999927520752,108.47200012207033,23.0,169.0,0.0,67.0,23.893054962158203,26.38467025756836,7.17563009262085,31.16524887084961,1725.0,5073.0,279.0,2464.0,147815.0,1185103.0,4671.0,297336.0,22.0,681.7916870117188,156.11898803710938,521.3331298828125,0.921829342842102,0.0,1.0,0.0,129.6867218017578,59.414669036865234,54.73660659790039,-0.588623046875,0.4690704345703125,0.5322265625,402.1238708496094,2052,1000002052
9,2058,0.0,0.0,0.0,0.0,270.69146728515625,15.824081420898438,19.13565444946289,23.907724380493164,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.91173267364502,857.5849609375,158.76058959960938,19.1444091796875,0.0,109.0,9.0,9.0,4.0,196.0,111.0,9.0,38.0,71.23809814453125,30.85714340209961,2.809523820877075,17.761905670166016,62.15998840332031,19.02300262451172,3.996000289916992,18.979999542236328,7.0,4.0,0.0,0.0,43.84268951416016,31.016563415527344,3.126218557357788,11.334333419799805,1496.0,648.0,59.0,373.0,146938.0,40198.0,371.0,9323.0,21.0,659.6905517578125,162.76058959960938,523.2297973632812,1.566765069961548,0.0,1.0,0.0,40.06803894042969,58.19815444946289,111.69284057617188,1.19903564453125,0.8256988525390625,-0.57904052734375,402.1238708496094,2058,1000002058
